,CountryName,RegionName,Date,PredictedDailyNewCases
0,Aruba,,2020-11-01,1.4943201211268629
1,Aruba,,2020-11-02,3.8837191681221555
2,Aruba,,2020-11-03,3.839335197152413
3,Aruba,,2020-11-04,8.677768779870393
4,Aruba,,2020-11-05,3.087767393593089
5,Aruba,,2020-11-06,1.730476877202562
6,Aruba,,2020-11-07,24.729372314139436
7,Aruba,,2020-11-08,0.0
8,Aruba,,2020-11-09,1.4573770169752276
9,Aruba,,2020-11-10,1.9939164550290127
10,Aruba,,2020-11-11,5.905729958078657
11,Aruba,,2020-11-12,1.666982847149158
12,Aruba,,2020-11-13,0.0
13,Aruba,,2020-11-14,22.597867939096684
14,Aruba,,2020-11-15,0.0
15,Aruba,,2020-11-16,0.0
16,Aruba,,2020-11-17,0.3051341842546429
17,Aruba,,2020-11-18,4.589778754022266
18,Aruba,,2020-11-19,0.0
19,Aruba,,2020-11-20,0.0
20,Aruba,,2020-11-21,0.0
21,Aruba,,2020-11-22,0.0
22,Aruba,,2020-11-23,0.0
23,Afghanistan,,2020-11-01,201.28933240527198
24,Afghanistan,,2020-11-02,118.35552783570355
25,Afghanistan,,2020-11-03,516.435371432942
26,Afghanistan,,2020-11-04,0.0
27,Afghanistan,,2020-11-05,328.28727459281157
28,Afghanistan,,2020-11-06,290.4258004320862
29,Afghanistan,,2020-11-07,58.833997131292065
30,Afghanistan,,2020-11-08,228.32106646686762
31,Afghanistan,,2020-11-09,0.0
32,Afghanistan,,2020-11-10,0.0
33,Afghanistan,,2020-11-11,0.0
34,Afghanistan,,2020-11-12,0.0
35,Afghanistan,,2020-11-13,0.0
36,Afghanistan,,2020-11-14,0.0
37,Afghanistan,,2020-11-15,0.0
38,Afghanistan,,2020-11-16,0.0
39,Afghanistan,,2020-11-17,0.0
40,Afghanistan,,2020-11-18,0.0
41,Afghanistan,,2020-11-19,0.0
42,Afghanistan,,2020-11-20,0.0
43,Afghanistan,,2020-11-21,0.0
44,Afghanistan,,2020-11-22,0.0
45,Afghanistan,,2020-11-23,0.0
46,Angola,,2020-11-01,0.0
47,Angola,,2020-11-02,0.0
48,Angola,,2020-11-03,0.0
49,Angola,,2020-11-04,0.0
50,Angola,,2020-11-05,0.0
51,Angola,,2020-11-06,0.0
52,Angola,,2020-11-07,0.0
53,Angola,,2020-11-08,0.0
54,Angola,,2020-11-09,0.0
55,Angola,,2020-11-10,0.0
56,Angola,,2020-11-11,0.0
57,Angola,,2020-11-12,0.0
58,Angola,,2020-11-13,0.0
59,Angola,,2020-11-14,0.0
60,Angola,,2020-11-15,0.0
61,Angola,,2020-11-16,0.0
62,Angola,,2020-11-17,0.0
63,Angola,,2020-11-18,0.0
64,Angola,,2020-11-19,0.0
65,Angola,,2020-11-20,0.0
66,Angola,,2020-11-21,0.0
67,Angola,,2020-11-22,0.0
68,Angola,,2020-11-23,0.0
69,Albania,,2020-11-01,890.0294114963408
70,Albania,,2020-11-02,900.1465821189722
71,Albania,,2020-11-03,986.7479005568181
72,Albania,,2020-11-04,976.5783191493158
73,Albania,,2020-11-05,1031.189970926116
74,Albania,,2020-11-06,1021.9073850635534
75,Albania,,2020-11-07,943.2134370594252
76,Albania,,2020-11-08,1104.3825404712054
77,Albania,,2020-11-09,1105.5583007667185
78,Albania,,2020-11-10,1190.0251701702416
79,Albania,,2020-11-11,1178.744904488768
80,Albania,,2020-11-12,1217.1615881437504
81,Albania,,2020-11-13,1205.6554777960396
82,Albania,,2020-11-14,1109.987865946114
83,Albania,,2020-11-15,1261.643311688852
